"Version","ID","Age","Gender","A5","A7","A8","B","C"
"2","NK_98","14","FEMALE","86.666666666667","66.666666666667","66.666666666667","46.666666666667","100"
"1","NK_99","14","FEMALE","93.333333333333","73.333333333333","73.333333333333","26.666666666667","100"
"2","NK_99","14","FEMALE","86.666666666667","73.333333333333","80","73.333333333333","100"
"1","NK_100","14","FEMALE","100","80","86.666666666667","33.333333333333","100"
"2","NK_100","14","FEMALE","93.333333333333","100","93.333333333333","33.333333333333","93.333333333333"
"1","NK_101","15","MALE","100","93.333333333333","86.666666666667","66.666666666667","100"
"2","NK_101","15","MALE","100","93.333333333333","93.333333333333","66.666666666667","93.333333333333"
"1","NK_102","15","MALE","86.666666666667","66.666666666667","86.666666666667","66.666666666667","86.666666666667"
"2","NK_102","15","MALE","100","73.333333333333","80","53.333333333333","93.333333333333"
"1","NK_103","15","MALE","86.666666666667","86.666666666667","80","73.333333333333","100"
"2","NK_103","15","MALE","100","73.333333333333","86.666666666667","53.333333333333","86.666666666667"
"1","NK_104","15","MALE","93.333333333333","80","80","53.333333333333","93.333333333333"
"2","NK_104","15","MALE","80","73.333333333333","66.666666666667","46.666666666667","93.333333333333"
"1","NK_105","15","MALE","100","86.666666666667","93.333333333333","46.666666666667","100"
"2","NK_105","15","MALE","100","93.333333333333","86.666666666667","73.333333333333","100"
"1","NK_106","15","FEMALE","100","66.666666666667","86.666666666667","33.333333333333","86.666666666667"
"2","NK_106","15","FEMALE","100","66.666666666667","66.666666666667","80","100"
"1","NK_107","15","FEMALE","86.666666666667","73.333333333333","93.333333333333","80","100"
"2","NK_107","15","FEMALE","86.666666666667","86.666666666667","80","40","93.333333333333"
"1","NK_108","15","FEMALE","80","66.666666666667","73.333333333333","46.666666666667","93.333333333333"
"2","NK_108","15","FEMALE","93.333333333333","86.666666666667","80","46.666666666667","100"
"1","NK_109","15","FEMALE","93.333333333333","66.666666666667","73.333333333333","46.666666666667","100"
"2","NK_109","15","FEMALE","93.333333333333","73.333333333333","80","73.333333333333","100"
"1","NK_110","15","FEMALE","100","93.333333333333","86.666666666667","33.333333333333","100"
"2","NK_110","15","FEMALE","100","93.333333333333","93.333333333333","46.666666666667","93.333333333333"
"1","NK_111","16","MALE","93.333333333333","93.333333333333","100","66.666666666667","100"
"2","NK_111","16","MALE","100","93.333333333333","100","66.666666666667","93.333333333333"
"1","NK_112","16","MALE","100","73.333333333333","86.666666666667","66.666666666667","93.333333333333"
"2","NK_112","16","MALE","93.333333333333","86.666666666667","86.666666666667","53.333333333333","93.333333333333"
"1","NK_113","16","MALE","93.333333333333","86.666666666667","80","73.333333333333","100"
"2","NK_113","16","MALE","100","73.333333333333","86.666666666667","53.333333333333","100"
"1","NK_114","16","MALE","86.666666666667","80","80","66.666666666667","93.333333333333"
"2","NK_114","16","MALE","93.333333333333","73.333333333333","80","66.666666666667","100"
"1","NK_115","16","MALE","100","86.666666666667","93.333333333333","66.666666666667","100"
"2","NK_115","16","MALE","100","80","86.666666666667","73.333333333333","100"
"1","NK_116","16","FEMALE","100","66.666666666667","86.666666666667","33.333333333333","86.666666666667"
"2","NK_116","16","FEMALE","100","73.333333333333","66.666666666667","80","100"
"1","NK_117","16","FEMALE","93.333333333333","86.666666666667","93.333333333333","80","100"
"2","NK_117","16","FEMALE","93.333333333333","86.666666666667","80","53.333333333333","100"
"1","NK_118","16","FEMALE","93.333333333333","66.666666666667","73.333333333333","46.666666666667","100"
"2","NK_118","16","FEMALE","93.333333333333","86.666666666667","80","46.666666666667","93.333333333333"
